file_name,color_1,color_2color_3color_4color_5,color_6
0.png,73;55;84,234;227;221,4;3;4,147;86;101,213;146;140,33;34;59
1.png,36;30;25,167;151;125,225;168;87,100;112;118,85;77;66,142;117;88
10.png,154;88;63,72;48;50,185;160;137,221;116;59,109;63;53,30;11;8
100.png,79;81;40,221;209;192,33;37;18,137;115;76,165;170;177,239;160;78
104.png,245;159;67,39;23;16,170;140;136,84;44;29,199;181;172,162;109;93
107.png,27;95;139,210;169;158,98;87;27,18;42;15,232;151;75,125;137;156
108.png,16;86;116,5;25;55,236;157;123,126;122;125,88;69;64,171;165;166
11.png,76;80;146,111;41;48,12;8;11,130;72;128,115;103;163,222;107;111
110.png,50;42;48,134;114;126,216;71;39,127;48;43,74;76;88,249;165;51
111.png,96;69;68,245;214;183,50;29;26,141;119;120,202;163;141,156;88;51
113.png,219;157;87,64;53;44,126;109;84,252;209;114,100;89;70,170;134;86
114.png,48;49;35,128;133;139,200;192;183,91;81;49,57;63;69,153;152;153
115.png,239;195;169,54;57;64,155;158;185,191;193;218,115;110;107,201;155;129
117.png,163;162;162,51;48;34,145;146;149,74;69;56,193;194;194,176;176;176
118.png,26;28;36,165;125;114,9;8;12,59;60;68,115;109;117,198;107;71
12.png,161;133;118,13;13;8,210;175;140,179;149;130,77;62;47,170;169;169
121.png,199;176;168,19;23;36,107;106;101,244;164;108,142;144;150,68;64;63
122.png,215;140;83,64;47;40,146;165;186,164;134;123,94;75;66,35;24;18
123.png,52;43;75,198;82;123,141;104;172,181;204;231,114;62;103,34;113;174
125.png,44;35;37,155;104;91,234;214;199,95;69;67,252;234;122,224;147;113
126.png,236;157;82,126;104;107,224;186;167,169;145;155,103;53;39,178;104;75
127.png,141;155;169,93;81;86,208;201;193,135;125;122,30;41;54,211;94;72
128.png,214;201;170,24;26;19,158;150;121,237;227;202,189;175;141,109;108;94
129.png,187;138;83,37;32;22,149;140;127,123;114;107,195;167;121,79;66;51
13.png,115;102;92,14;13;10,163;165;171,231;169;103,57;44;34,197;182;169
130.png,251;204;108,64;29;18,163;111;57,204;160;90,109;68;43,244;181;25
131.png,67;47;24,188;160;135,249;207;135,235;188;115,101;79;59,161;135;111
132.png,212;142;95,85;54;42,138;100;86,246;166;86,55;33;26,176;127;104
133.png,204;175;171,38;22;17,126;93;81,180;134;120,236;157;95,74;50;36
134.png,35;42;49,164;178;188,219;207;177,102;115;125,72;82;89,130;146;158
136.png,28;34;26,127;160;202,59;67;62,157;180;207,201;213;223,117;109;97
138.png,7;16;23,126;129;130,50;49;52,197;175;145,80;86;94,161;120;89
139.png,165;122;91,49;49;52,126;129;130,7;16;23,81;86;93,197;176;146
14.png,244;191;91,14;99;160,161;169;166,14;17;14,81;134;171,164;109;70
140.png,221;168;82,31;14;5,236;198;128,192;139;47,239;164;23,142;98;30
142.png,72;77;114,238;182;130,25;24;21,124;112;145,74;55;49,182;144;149
143.png,10;6;4,184;109;53,98;83;67,239;226;204,58;44;33,124;104;81
147.png,25;16;14,207;208;212,78;51;46,174;175;177,245;245;243,132;132;135
148.png,233;224;209,138;86;105,243;131;108,79;53;51,215;72;80,156;16;41
15.png,48;62;79,174;148;134,20;13;15,82;82;92,219;196;179,136;109;102
150.png,196;172;157,17;17;20,188;82;95,101;99;99,157;143;134,230;109;125
151.png,23;27;26,178;200;211,77;115;168,104;105;86,120;155;199,53;58;55
152.png,68;75;79,170;115;110,37;51;54,246;154;124,111;99;96,235;107;98
153.png,102;54;48,182;87;51,72;30;24,33;11;8,137;81;68,170;123;112
157.png,214;162;185,103;87;96,28;18;21,69;60;65,159;118;140,249;217;227
159.png,169;138;124,81;55;47,239;146;27,37;22;21,232;210;194,133;88;69
16.png,186;179;174,19;19;16,124;126;134,156;151;154,95;102;116,218;206;185
160.png,103;87;97,216;174;182,160;126;147,54;31;20,232;139;82,105;58;47
164.png,244;211;119,82;88;111,141;153;185,243;245;232,178;89;19,46;35;38
165.png,245;136;21,64;41;36,123;124;139,239;177;105,114;74;58,181;100;61
166.png,132;93;45,224;17;10,187;160;142,52;35;11,245;142;27,153;21;9
169.png,180;163;123,82;45;30,213;134;95,225;200;144,138;82;55,126;124;106
17.png,82;88;118,78;113;169,163;123;112,110;157;219,11;17;25,31;41;59
171.png,196;146;135,240;227;183,72;32;29,215;111;71,235;194;87,162;71;70
172.png,20;14;8,237;187;123,126;80;48,65;45;28,218;128;53,167;130;96
173.png,125;75;135,79;64;109,31;24;34,246;114;153,43;51;84,186;73;119
174.png,22;148;193,118;69;61,229;144;110,50;39;41,131;149;173,227;196;198
175.png,134;141;165,87;90;108,213;202;198,173;170;175,117;118;131,57;65;95
178.png,26;27;27,151;159;168,87;125;178,63;71;82,218;206;185,116;117;123
179.png,24;25;26,160;167;153,193;79;8,82;135;173,90;62;36,243;218;143
18.png,113;102;178,4;3;5,157;150;201,175;89;160,74;112;202,56;88;173
180.png,211;111;63,54;30;23,136;67;42,254;225;165,37;13;8,173;88;54
185.png,212;203;187,30;22;16,200;184;169,93;76;65,193;160;134,155;137;124
187.png,14;13;12,204;175;152,142;127;116,214;203;188,77;62;57,175;152;137
188.png,216;205;190,16;16;15,175;155;140,80;65;60,141;128;118,206;177;153
189.png,187;125;91,102;58;41,199;154;150,220;177;174,38;30;12,149;91;66
19.png,81;88;90,216;214;198,42;52;57,173;191;208,160;149;136,105;115;127
190.png,157;157;183,162;98;113,103;79;97,227;203;190,124;116;145,194;126;137
191.png,184;174;179,31;22;15,233;152;87,114;78;59,155;163;184,203;153;131
193.png,223;156;110,25;23;28,138;118;114,54;51;55,165;171;175,211;214;206
196.png,175;130;116,87;64;58,221;163;130,144;108;100,117;89;86,47;32;25
2.png,37;76;112,8;9;11,127;153;166,68;114;151,137;106;90,220;185;138
201.png,51;111;167,48;56;63,223;225;218,22;28;36,139;163;176,91;98;103
202.png,59;39;35,175;112;100,95;86;88,222;139;105,132;97;90,95;69;58
205.png,141;145;152,7;7;5,200;192;209,46;44;41,217;159;112,95;81;79
207.png,141;159;178,106;96;100,167;181;195,170;131;115,118;140;163,238;179;147
208.png,35;37;31,165;157;162,194;199;206,127;117;113,75;71;64,229;187;162
209.png,200;185;185,14;20;27,89;106;127,211;228;238,133;150;171,165;202;226
21.png,215;171;142,40;30;17,153;123;108,17;11;4,109;89;81,76;62;57
210.png,178;171;159,38;22;21,100;43;29,180;75;23,240;178;54,182;145;114
211.png,242;163;10,42;32;28,195;97;17,6;5;5,83;51;40,138;63;29
213.png,75;76;97,137;99;118,13;117;127,160;164;162,211;118;106,246;190;148
215.png,20;15;13,221;170;119,144;85;64,181;146;120,77;63;65,183;119;79
217.png,27;20;11,156;127;151,217;130;127,67;60;39,118;98;87,187;182;199
219.png,72;55;45,227;201;157,198;159;113,33;19;13,133;109;86,178;175;171
22.png,250;216;216,16;15;16,195;159;185,224;189;202,157;124;136,64;48;48
223.png,235;201;166,114;123;144,78;84;102,195;184;187,222;212;213,158;151;153
224.png,138;113;108,90;125;163,231;167;94,5;5;3,141;173;196,74;82;98
225.png,68;52;42,229;191;144,81;91;142,113;91;78,34;56;106,161;146;148
226.png,8;11;29,239;221;176,83;80;95,36;44;67,242;179;120,213;221;205
227.png,178;44;36,88;177;229,9;16;12,218;162;112,54;88;128,74;39;26
229.png,172;148;128,25;19;31,68;63;67,219;147;80,105;101;107,239;128;22
23.png,112;125;147,30;27;22,224;202;175,84;100;126,152;156;165,66;81;102
230.png,208;116;103,54;30;26,147;98;104,245;218;130,180;105;102,229;137;113
231.png,224;119;103,55;52;35,206;167;153,30;29;19,239;162;124,100;92;73
233.png,17;23;33,125;144;161,45;63;86,208;185;158,172;120;73,69;102;137
234.png,64;36;12,244;134;35,142;82;24,7;4;2,253;245;218,195;99;21
235.png,168;136;125,37;36;26,226;154;129,184;149;132,80;72;66,18;18;13
236.png,15;13;16,144;120;80,54;51;59,32;30;36,90;83;81,182;106;28
237.png,187;172;154,107;67;69,52;21;15,231;129;77,130;124;140,175;91;69
238.png,186;167;158,11;20;23,182;199;218,118;128;144,37;58;77,230;220;199
239.png,76;41;12,134;162;173,198;195;159,194;129;73,146;82;28,76;120;171
24.png,149;155;173,42;40;33,93;105;130,184;186;197,244;232;215,118;128;152
240.png,131;124;111,225;215;187,62;37;16,131;87;51,78;69;62,186;164;133
241.png,147;86;101,234;227;221,33;34;59,213;146;140,4;3;4,73;55;84
243.png,142;117;88,167;151;125,85;77;66,225;168;87,100;112;118,36;30;25
244.png,8;9;11,68;114;151,220;185;138,37;76;112,137;106;90,127;152;166
245.png,7;8;10,68;115;151,220;185;138,38;77;114,127;152;166,138;106;90
246.png,57;38;47,248;219;164,103;60;56,16;8;9,36;23;30,188;121;94
247.png,120;114;105,70;63;60,147;88;43,167;166;156,44;37;32,233;176;83
248.png,130;147;174,17;36;89,54;85;148,210;149;71,8;12;34,231;209;168
249.png,84;57;38,196;152;78,184;125;56,205;175;111,127;75;38,162;97;42
25.png,161;165;172,75;86;105,26;26;24,98;110;134,226;210;185,125;135;153
250.png,91;82;81,224;112;83,9;7;7,247;193;129,59;59;62,165;87;74
251.png,113;102;114,159;169;175,34;31;29,195;132;80,220;205;165,105;129;158
252.png,221;116;59,72;48;50,185;160;137,109;62;53,30;11;8,152;87;63
253.png,76;80;146,12;8;11,130;72;128,111;41;48,115;103;163,222;107;111
254.png,210;175;140,13;13;8,179;149;130,77;62;47,161;133;118,170;169;169
255.png,164;165;171,55;43;33,231;169;103,114;101;90,198;182;169,14;12;10
256.png,14;17;14,80;134;171,165;110;70,244;192;91,14;99;160,160;168;166
257.png,48;62;79,174;147;133,20;13;15,218;195;178,82;82;92,135;109;102
258.png,125;127;135,19;19;16,218;206;184,186;179;174,157;152;154,95;103;117
259.png,11;17;25,78;113;169,82;88;118,163;123;112,110;157;220,31;41;59
26.png,46;23;13,12;12;13,189;95;36,88;45;32,58;59;69,127;71;50
260.png,157;150;201,4;3;5,73;112;202,175;89;160,56;88;173,113;102;178
27.png,215;132;48,124;55;17,245;177;38,68;21;6,251;251;156,174;95;36
28.png,38;36;39,107;90;98,162;129;119,10;10;9,73;66;72,226;177;160
3.png,128;153;166,7;8;10,38;77;114,220;185;138,69;115;151,137;106;90
31.png,79;60;61,12;7;9,214;120;65,147;67;44,129;102;97,45;32;33
32.png,26;26;10,209;188;146,117;98;61,253;253;246,168;145;104,68;57;32
36.png,121;121;115,220;218;198,47;47;45,223;186;135,138;159;178,84;85;81
39.png,176;77;40,113;73;64,242;137;79,157;112;104,75;39;25,253;225;157
4.png,57;38;47,248;219;164,103;60;56,16;8;9,36;23;30,188;121;94
40.png,252;186;126,79;50;53,140;87;85,240;135;105,22;19;33,183;115;116
41.png,2;2;1,21;58;79,138;126;107,204;114;17,69;87;97,111;51;17
42.png,38;36;39,72;65;71,224;175;161,10;10;10,162;128;119,106;89;97
44.png,198;165;130,36;19;15,149;157;172,133;111;91,78;64;56,201;123;70
45.png,193;178;175,17;13;11,135;111;106,171;147;133,228;219;207,87;69;69
46.png,39;52;69,144;141;125,64;75;86,102;106;102,18;19;15,197;187;154
47.png,156;98;58,17;18;15,202;152;91,131;123;96,95;97;87,71;55;44
48.png,175;112;100,59;40;35,94;86;89,222;139;105,131;97;90,96;70;59
5.png,70;63;60,168;166;156,147;88;43,233;175;83,44;37;32,120;114;105
52.png,139;129;113,82;69;57,93;109;126,58;38;26,183;158;119,189;132;75
53.png,62;44;36,192;184;162,207;162;110,98;101;98,223;124;50,145;121;99
54.png,16;14;13,194;153;109,59;53;45,247;146;42,122;112;98,176;171;160
